name,slug,years,date_of_information,ranking,region
Peru,peru,30.2,2024,139,South America
Philippines,philippines,25.7,2024,167,East and Southeast Asia
Poland,poland,42.9,2024,38,Europe
Portugal,portugal,46.4,2024,11,Europe
Puerto Rico,puerto-rico,46.1,2024,13,Central America and the Caribbean
Qatar,qatar,34.3,2024,105,Middle East
Romania,romania,45.5,2024,16,Europe
Russia,russia,41.9,2024,48,Central Asia
Rwanda,rwanda,20.8,2024,198,Africa
Saint Barthelemy,saint-barthelemy,47.4,2024,6,Central America and the Caribbean
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,45.1,2024,21,Africa
Saint Kitts and Nevis,saint-kitts-and-nevis,38.6,2024,72,Central America and the Caribbean
Saint Lucia,saint-lucia,39.7,2024,65,Central America and the Caribbean
Saint Martin,saint-martin,34.2,2024,106,Central America and the Caribbean
Saint Pierre and Miquelon,saint-pierre-and-miquelon,51.2,2024,2,North America
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,37.6,2024,82,Central America and the Caribbean
Samoa,samoa,27.4,2024,158,Australia and Oceania
San Marino,san-marino,46.1,2024,14,Europe
Sao Tome and Principe,sao-tome-and-principe,20.8,2024,197,Africa
Saudi Arabia,saudi-arabia,32.4,2024,115,Middle East
Senegal,senegal,19.2,2024,213,Africa
Serbia,serbia,43.9,2024,33,Europe
Seychelles,seychelles,38.7,2024,71,Africa
Sierra Leone,sierra-leone,19.4,2024,210,Africa
Singapore,singapore,39.4,2024,68,East and Southeast Asia
Sint Maarten,sint-maarten,41,2024,55,Central America and the Caribbean
Slovakia,slovakia,42.8,2024,39,Europe
Slovenia,slovenia,46.3,2024,12,Europe
Solomon Islands,solomon-islands,25.2,2024,171,Australia and Oceania
Somalia,somalia,19.1,2024,215,Africa
South Africa,south-africa,30.4,2024,136,Africa
South Sudan,south-sudan,18.7,2024,217,Africa
Spain,spain,46.8,2024,8,Europe
Sri Lanka,sri-lanka,34.1,2024,107,South Asia
Sudan,sudan,19.3,2024,212,Africa
Suriname,suriname,32,2024,118,South America
Sweden,sweden,41.1,2024,52,Europe
Switzerland,switzerland,44.2,2024,32,Europe
Syria,syria,24.1,2024,178,Middle East
Taiwan,taiwan,44.6,2024,29,East and Southeast Asia
Tajikistan,tajikistan,22.8,2024,181,Central Asia
Tanzania,tanzania,19.1,2024,214,Africa
Thailand,thailand,41.5,2024,49,East and Southeast Asia
Timor-Leste,timor-leste,20.6,2024,201,East and Southeast Asia
Togo,togo,20.7,2024,199,Africa
Tonga,tonga,25.9,2024,166,Australia and Oceania
Trinidad and Tobago,trinidad-and-tobago,38.5,2024,73,Central America and the Caribbean
Tunisia,tunisia,34.4,2024,102,Africa
Turkey (Turkiye),turkey-turkiye,34,2024,108,Middle East
Turkmenistan,turkmenistan,31.2,2024,128,Central Asia
Turks and Caicos Islands,turks-and-caicos-islands,36.3,2024,93,Central America and the Caribbean
Tuvalu,tuvalu,27.8,2024,155,Australia and Oceania
Uganda,uganda,16.2,2024,228,Africa
Ukraine,ukraine,44.9,2024,25,Europe
United Arab Emirates,united-arab-emirates,35.8,2024,95,Middle East
United Kingdom,united-kingdom,40.8,2024,58,Europe
United States,united-states,38.9,2022,69,North America
Uruguay,uruguay,36.5,2024,89,South America
Uzbekistan,uzbekistan,28.9,2024,148,Central Asia
Vanuatu,vanuatu,24.6,2024,176,Australia and Oceania
Venezuela,venezuela,31,2024,129,South America
Vietnam,vietnam,33.1,2024,113,East and Southeast Asia
Virgin Islands,virgin-islands,43,2024,37,Central America and the Caribbean
Wallis and Futuna,wallis-and-futuna,36.3,2024,92,Australia and Oceania
West Bank,west-bank,21.9,2024,189,Middle East
Yemen,yemen,22,2024,188,Middle East
Zambia,zambia,18.4,2024,219,Africa
Zimbabwe,zimbabwe,21.2,2024,194,Africa
